date,gdp_growth
1962-01-01,-1.728978
1962-04-01,1.283745
1962-07-01,2.235066
1962-10-01,1.127268
1963-01-01,1.529635
1963-04-01,2.250892
1963-07-01,1.314772
1963-10-01,1.336667
1964-01-01,1.790748
1964-04-01,1.980515
1964-07-01,1.551659
1964-10-01,1.24065
1965-01-01,1.479931
1965-04-01,1.223124
1965-07-01,1.778835
1965-10-01,-0.288896
1966-01-01,-0.723053
1966-04-01,-1.341719
1966-07-01,1.340984
1966-10-01,0.997589
1967-01-01,0.46445
1967-04-01,1.249527
1967-07-01,0.908153
1967-10-01,1.410863
1968-01-01,1.178758
1968-04-01,1.19658
1968-07-01,1.182883
1968-10-01,1.331012
1969-01-01,1.123863
1969-04-01,0.694714
1969-07-01,1.150383
1969-10-01,1.403203
1970-01-01,0.374743
1970-04-01,0.703086
1970-07-01,1.165134
1970-10-01,1.548048
1971-01-01,2.153866
1971-04-01,1.938278
1971-07-01,1.765935
1971-10-01,1.385515
1972-01-01,1.410556
1972-04-01,1.199501
1972-07-01,1.484669
1972-10-01,0.206651
1973-01-01,0.799863
1973-04-01,1.867949
1973-07-01,-0.816989
1973-10-01,-2.086347
1974-01-01,-1.219946
1974-04-01,-0.576439
1974-07-01,0.904363
1974-10-01,-2.621261
1975-01-01,-0.883785
1975-04-01,1.150389
1975-07-01,1.356593
1975-10-01,0.781592
1976-01-01,1.69545
1976-04-01,1.362347
1976-07-01,1.158949
1976-10-01,1.185469
1977-01-01,0.903305
1977-04-01,1.57034
1977-07-01,1.858041
1977-10-01,1.484634
1978-01-01,0.779739
1978-04-01,-0.126744
1978-07-01,-0.67251
1978-10-01,-0.170823
1979-01-01,-0.698267
1979-04-01,-0.404731
1979-07-01,-0.461027
1979-10-01,1.486078
1980-01-01,-2.12935
1980-04-01,-0.999041
1980-07-01,0.526315
1980-10-01,0.610378
1981-01-01,0.891725
1981-04-01,1.078476
1981-07-01,1.065357
1981-10-01,1.193567
1982-01-01,0.762094
1982-04-01,0.784754
1982-07-01,0.48681
1982-10-01,0.733587
1983-01-01,0.594563
1983-04-01,0.144107
1983-07-01,0.753704
1983-10-01,1.037481
1984-01-01,1.191677
1984-04-01,1.174294
1984-07-01,1.511381
1984-10-01,1.389215
1985-01-01,1.27132
1985-04-01,1.71235
1985-07-01,1.355547
1985-10-01,0.776216
1986-01-01,1.410305
1986-04-01,1.260808
1986-07-01,0.353941
1986-10-01,-0.817669
1987-01-01,-1.696082
1987-04-01,-0.071771
1987-07-01,-0.683051
1987-10-01,-2.781868
1988-01-01,-0.627638
1988-04-01,1.195146
1988-07-01,1.113668
1988-10-01,1.156238
1989-01-01,0.944802
1989-04-01,1.069356
1989-07-01,1.642501
1989-10-01,1.423504
1990-01-01,0.990042
1990-04-01,1.073475
1990-07-01,1.835837
1990-10-01,1.581052
1991-01-01,1.151162
1991-04-01,1.873957
1991-07-01,0.754355
1991-10-01,-0.170915
1992-01-01,0.563512
1992-04-01,1.022585
1992-07-01,1.228906
1992-10-01,0.398427
1993-01-01,0.863957
1993-04-01,0.799976
1993-07-01,1.546737
1993-10-01,1.734396
1994-01-01,1.356441
1994-04-01,0.709036
1994-07-01,1.206381
1994-10-01,1.172234
1995-01-01,1.121003
1995-04-01,1.212664
1995-07-01,1.667107
1995-10-01,0.827936
1996-01-01,0.362833
1996-04-01,1.006589
1996-07-01,1.358301
1996-10-01,1.229325
1997-01-01,0.282434
1997-04-01,0.749056
1997-07-01,0.700298
1997-10-01,0.975104
1998-01-01,1.126106
1998-04-01,0.559413
1998-07-01,0.657482
1998-10-01,0.501763
1999-01-01,0.761388
1999-04-01,1.470247
1999-07-01,0.638148
1999-10-01,1.14306
2000-01-01,1.229099
2000-04-01,0.656319
2000-07-01,1.383585
2000-10-01,-0.080382
2001-01-01,1.636863
2001-04-01,1.877094
2001-07-01,1.178285
2001-10-01,0.58586
2002-01-01,0.519968
2002-04-01,0.321849
2002-07-01,1.736403
2002-10-01,0.664101
2003-01-01,1.137425
2003-04-01,0.345195
2003-07-01,0.877983
2003-10-01,1.268185
2004-01-01,0.940291
2004-04-01,1.624116
2004-07-01,1.235502
2004-10-01,0.540633
2005-01-01,-0.478599
2005-04-01,0.104461
2005-07-01,0.707683
2005-10-01,1.202288
2006-01-01,1.552759
2006-04-01,0.971398
2006-07-01,0.584757
2006-10-01,0.812564
2007-01-01,0.678163
2007-04-01,0.902637
2007-07-01,0.813479
2007-10-01,1.161788
2008-01-01,1.414262
2008-04-01,0.671492
2008-07-01,1.065065
2008-10-01,0.797235
2009-01-01,1.466562
2009-04-01,0.806429
2009-07-01,0.533659
2009-10-01,0.258595
2010-01-01,0.662488
2010-04-01,-0.377125
2010-07-01,-1.51463
2010-10-01,-0.588499
2011-01-01,-3.510747
2011-04-01,-0.646332
2011-07-01,-0.55272
2011-10-01,-3.046103
2012-01-01,0.515218
2012-04-01,1.126755
2012-07-01,1.377255
2012-10-01,1.027324
2013-01-01,-1.050334
2013-04-01,-2.026486
2013-07-01,1.085027
2013-10-01,0.755531
2014-01-01,0.022444
2014-04-01,-0.231826
2014-07-01,1.750965
2014-10-01,1.340119
2015-01-01,1.333774
2015-04-01,1.267831
2015-07-01,1.380644
2015-10-01,2.175517
2016-01-01,1.189389
2016-04-01,1.650471
2016-07-01,0.007948
2016-10-01,-0.967469
2017-01-01,-1.454189
2017-04-01,0.290567
2017-07-01,0.555266
2017-10-01,1.445022
2018-01-01,2.103825
2018-04-01,1.677642
2018-07-01,1.020569
2018-10-01,0.420551
2019-01-01,0.411988
2019-04-01,1.368843
2019-07-01,1.566955
2019-10-01,1.920719
2020-01-01,0.879471
2020-04-01,1.030305
2020-07-01,1.728462
2020-10-01,1.47282
2021-01-01,0.698418
2021-04-01,0.557977
2021-07-01,0.177182
2021-10-01,0.174777
2022-01-01,1.542962
2022-04-01,-1.552926
2022-07-01,1.238777
2022-10-01,1.113482
2023-01-01,0.28361
2023-04-01,-1.249641
2023-07-01,2.159969
2023-10-01,0.970988
2024-01-01,1.122346
2024-04-01,-0.146862
