date,rv_daily,rv_weekly,rv_monthly,close_return
2014-01-02,0.54429873,0.54429873,0.54429873,-0.29490507
2014-01-03,0.6785652418,0.6114319859,0.6114319859,1.18546875
2014-01-06,0.4381452949,0.5536697556,0.5536697556,-0.79758134
2014-01-07,0.8461154351,0.6267811755,0.6267811755,-1.10472622
2014-01-08,0.6421980012,0.6298645406,0.6298645406,-0.71528348
2014-01-09,0.550170767,0.631038948,0.616582245,-1.35214443
2014-01-10,0.8633465255,0.6679952047,0.6518342851,0.00305585
2014-01-13,1.0042502727,0.7812162003,0.6958862835,0.71759854
2014-01-14,0.8200008711,0.7759932875,0.7096767933,0.30658197
2014-01-15,0.9421902329,0.8359917338,0.7329281372,1.30831359
2014-01-16,1.0894172196,0.9438410244,0.7653362356,0.39432567
2014-01-17,0.9966549041,0.9705027001,0.7846127913,1.6304214
2014-01-20,1.4963190562,1.0689164568,0.8393594271,0.90964935
2014-01-21,1.3663366594,1.1781836145,0.877000658,0.89752378
2014-01-22,1.1647083318,1.2226872342,0.8961811696,1.34334622
2014-01-23,1.4548799555,1.2957797814,0.9310998437,0.56980725
2014-01-24,0.8996399605,1.2763767927,0.9292492623,0.08568468
2014-01-27,1.1956261602,1.2162382135,0.9440479789,-0.12709576
2014-01-28,1.3790435379,1.2187795892,0.966942482,0.36198188
2014-01-29,0.7387572632,1.1335893755,0.955533221,0.26277711
2014-01-30,0.8856013482,1.019733654,0.9522031319,-1.13017421
2014-01-31,0.9756378528,1.0349332325,0.9532683464,0.98203545
2014-02-03,0.7683689106,0.9494817825,0.9634533547,0.83553447
2014-02-04,1.0484810429,0.8833692835,0.9802677092,0.58782818
2014-02-05,0.8584538994,0.9073086108,0.9993726458,1.13719452
2014-02-06,1.0137156526,0.9329314716,1.0069908375,1.48657951
2014-02-07,1.0485644895,0.947516799,1.0254620415,-0.80145417
2014-02-10,1.122793432,1.0184017033,1.0514903445,-0.19419595
2014-02-11,1.1250416831,1.0337138313,1.0633855789,-0.47352365
2014-02-12,0.9715420197,1.0563314554,1.0618988401,-0.83595867
2014-02-13,1.1335886814,1.0803060611,1.0761528315,0.4196554
2014-02-14,1.4943826392,1.1694696911,1.1012524864,-1.49419754
2014-02-17,0.8169463728,1.1083002792,1.0888674479,-0.36494943
2014-02-18,0.8332970461,1.0499513518,1.0814420907,-1.37315916
2014-02-19,0.8353483762,1.0227126231,1.0513979689,-0.37426161
2014-02-20,0.4585339406,0.887701675,1.0101342089,-1.00819355
2014-02-21,0.9036220802,0.7695495632,0.998266652,0.23727416
2014-02-24,0.7778540541,0.7617310994,0.9674927474,-0.19728473
2014-02-25,0.7904883331,0.7531693568,0.9625313098,0.79155011
2014-02-26,0.6097910728,0.7080578962,0.9359024422,1.08136773
2014-02-27,0.5670633583,0.7297637797,0.8989942522,-1.53080754
2014-02-28,0.8095411562,0.7109475949,0.9022117019,-1.09806973
2014-03-03,0.9233576219,0.7400483085,0.9039278962,0.32252574
2014-03-04,0.9129777472,0.7645461913,0.9010797095,0.14696025
2014-03-05,0.6943251007,0.7814529969,0.8977140818,0.58524331
2014-03-06,0.7111333417,0.8102669935,0.8823800954,-1.39597007
2014-03-07,0.6177916628,0.7719170949,0.8714409028,0.1112392
2014-03-10,0.6551854023,0.7182826509,0.8551440733,-1.39437672
2014-03-11,0.978900961,0.7314672937,0.8519775492,0.10740982
2014-03-12,0.9353258962,0.7796674528,0.8434562976,-0.87839327
2014-03-13,0.7230081626,0.782042417,0.8251820467,-1.1511167
2014-03-14,0.8262625066,0.8237365857,0.8185784325,-0.96374438
2014-03-17,0.5564182172,0.8039831487,0.7923434114,1.50537205
2014-03-18,0.5621585095,0.7206346584,0.7499695873,-0.01930951
2014-03-19,0.7095717065,0.6754838205,0.7450889206,0.69178994
2014-03-20,0.7770406287,0.6862903137,0.7425318107,1.34315563
2014-03-21,0.6655340193,0.6541446162,0.7348129763,0.29100318
2014-03-24,0.8418391949,0.7112288118,0.7522359424,-0.54625428
2014-03-25,1.0151401111,0.8018251321,0.7573049438,0.73020915
2014-03-26,0.9144139077,0.8427935723,0.7635122099,0.32568855
2014-03-27,0.9117891106,0.8697432687,0.7690258816,0.96207111
2014-03-28,0.8620248024,0.9090414253,0.7804910511,-0.30379745
2014-03-31,0.6355635616,0.8677862987,0.7836046967,0.90921041
2014-04-01,0.5784906814,0.7804564127,0.7731024024,0.2875707
2014-04-02,0.5965316241,0.716879956,0.7582466753,0.38930272
2014-04-03,0.875141516,0.7095504371,0.7565268466,-1.25959529
2014-04-04,0.712335294,0.6796125354,0.7573454917,-0.07161079
2014-04-07,0.8009197272,0.7126837685,0.7614266911,-1.14469148
2014-04-08,0.591270798,0.7152397919,0.7602211972,0.68809864
2014-04-09,0.6654634078,0.7290261486,0.7606883793,-0.53477428
2014-04-10,0.6521056474,0.6844189749,0.7458340468,-0.00816892
2014-04-11,0.5907035182,0.6600926197,0.7301693933,-0.18041439
2014-04-14,0.9265563286,0.68521994,0.7394215827,0.02601586
2014-04-15,0.6089424862,0.6887542776,0.7295433999,-1.28011397
2014-04-16,0.8731657488,0.7302947458,0.743941015,-0.65084302
2014-04-17,0.7397547172,0.7478245598,0.7520135699,-0.23649181
2014-04-18,0.5589739858,0.7414786533,0.745168219,0.25640999
2014-04-21,0.5681220016,0.6697917879,0.7356719177,0.53379704
2014-04-22,0.6377937792,0.6755620465,0.7344109977,-0.06473141
2014-04-23,0.4699347863,0.594915854,0.7175062519,-1.06082721
2014-04-24,0.4513797089,0.5372408523,0.691880779,0.09733077
2014-04-25,0.5303651695,0.5315190891,0.6744240182,-0.60116639
2014-04-28,0.3709856037,0.4920918095,0.6498420406,-0.83068814
2014-04-29,0.3103954758,0.4266121488,0.6247679803,-0.89036475
2014-04-30,0.586643822,0.449953956,0.6225443558,0.01448144
2014-05-01,0.4223625215,0.4441505185,0.6154476213,0.2185645
2014-05-02,0.3842379635,0.4149250773,0.6057979094,0.06412154
2014-05-05,0.8010869993,0.5009453564,0.602431795,-0.00728529
2014-05-06,0.6126329189,0.5613928451,0.5978998689,-0.83342527
2014-05-07,0.6327880227,0.5706216852,0.5902575187,0.04408016
2014-05-08,0.6200680968,0.6101628003,0.5915664868,-0.40024006
2014-05-09,0.6155991454,0.6564350366,0.5892999294,-0.61272019
2014-05-12,0.908380786,0.677893794,0.6009487994,-0.77145022
2014-05-13,0.76737738,0.7088426862,0.6089794294,1.65061527
2014-05-14,0.4540798714,0.6731010559,0.5875032268,0.58663784
2014-05-15,0.5378833662,0.6566641098,0.5842732668,-0.60015608
2014-05-16,0.4700168139,0.6275476435,0.5659483152,0.05128516
2014-05-19,0.4705761227,0.5399867108,0.5537129246,-0.26883709
2014-05-20,0.6135369873,0.5092186323,0.556193061,0.08038775
2014-05-21,0.3795557639,0.4943138108,0.5476218684,0.4412044
2014-05-22,0.6978510445,0.5263073464,0.5503517441,-0.42450286
2014-05-23,0.5090402905,0.5341120418,0.552129267,0.61452029
2014-05-26,0.4423594407,0.5284687054,0.5517192548,-0.15324956
2014-05-27,0.6791154255,0.541584393,0.5584806301,0.87849052
2014-05-28,0.5572257615,0.5771183925,0.5669460918,-0.1709339
2014-05-29,0.6416739701,0.5658829777,0.5820042052,1.00261935
2014-05-30,0.9760567943,0.6592862784,0.5997047948,0.11897572
2014-06-02,0.939317768,0.7586779439,0.6232027606,-0.71609621
2014-06-03,0.7747736502,0.7778095888,0.6409543827,-0.87983607
2014-06-04,0.8528867835,0.8369417932,0.6433089184,0.25433699
2014-06-05,0.9286093784,0.8943288749,0.6576714847,1.44267466
2014-06-06,0.6523700919,0.8295915344,0.6585615788,-0.21444429
2014-06-09,0.6872035254,0.7791686859,0.6616131892,-0.36742717
2014-06-10,0.5803402399,0.7402820038,0.6600105116,0.01758067
2014-06-11,0.7428308914,0.7182708254,0.6524855164,0.47095516
2014-06-12,0.6002052511,0.65259,0.6448867833,-0.92490536
2014-06-13,0.8379392056,0.6897038227,0.6623349348,-0.43846239
2014-06-16,0.5080577701,0.6538746716,0.6609792259,-0.42220388
2014-06-17,0.6506131348,0.6679292506,0.6691881496,-0.58593321
2014-06-18,0.8797314847,0.6953093693,0.6877861206,-0.19268206
2014-06-19,0.5893996128,0.6931482416,0.6866889672,-0.51193622
2014-06-20,0.3673845052,0.5990373015,0.6861357282,-0.06635644
2014-06-23,0.5719119489,0.6118081373,0.6804112238,1.38180173
2014-06-24,0.8281558275,0.6473166758,0.6949164755,-0.48907719
2014-06-25,0.7846436707,0.628299113,0.7104748496,0.0966167
